name,team,playingRole,battingStyle,bowlingStyle
Hardik Pandya,India,Allrounder,Right hand Bat,Right arm Medium fast
Axar Patel,India,Bowling Allrounder,Left hand Bat,Slow Left arm Orthodox
Arshdeep Singh,India,Bowler,Left hand Bat,Left arm Medium fast
Yuzvendra Chahal,India,Bowler,Right hand Bat,Legbreak Googly
Bhuvneshwar Kumar,India,Bowler,Right hand Bat,Right arm Medium
Mohammed Shami,India,Bowler,Right hand Bat,Right arm Fast
Harshal Patel,India,Bowler,Right hand Bat,Right arm Medium
Maheesh Theekshana,Sri Lanka,Bowler,Right hand Bat,Right arm Offbreak
Jeffrey Vandersay,Sri Lanka,Bowler,Right hand Bat,Legbreak
Dushmantha Chameera,Sri Lanka,Bowler,Right hand Bat,Right arm Fast
Binura Fernando,Sri Lanka,Bowler,Right hand Bat,Left arm Medium fast
Dilshan Madushanka,Sri Lanka,Bowler,Right hand Bat,Left arm Fast medium
Aryan Lakra,United Arab Emirates,Bowler,Left hand Bat,Slow Left arm Orthodox
Junaid Siddique,United Arab Emirates,Bowler,Right hand Bat,Right arm Medium fast
Karl Birkenstock,Namibia,Middle order Batter,Left hand Bat,Right arm Fast medium
Matthew Cross,Scotland,Wicketkeeper Batter,Right hand Bat,
Stephen Doheny,Ireland,Opening Batter,Right hand Bat,
Harry Brook,England,Batter,Right hand Bat,Right arm Medium
Jasprit Bumrah,India,Bowler,Right hand Bat,Right arm Fast
Karthik Meiyappan,United Arab Emirates,Bowler,Right hand Bat,Legbreak
Sabir Ali,United Arab Emirates,Bowler,Right hand Bat,Left arm Fast medium
Zahoor Khan,United Arab Emirates,Bowler,Right hand Bat,Right arm Medium fast
Zane Green,Namibia,Wicketkeeper Batter,Left hand Bat,
Divan la Cock,Namibia,Opening Batter,Right hand Bat,Legbreak
Jan Nicol Loftie-Eaton,Namibia,Batter,Left hand Bat,"Right arm Medium, Legbreak"
Michael Jones,Scotland,Top order Batter,Right hand Bat,Right arm Offbreak
Calum MacLeod,Scotland,Top order Batter,Right hand Bat,"Right arm Medium fast, Right arm Offbreak"
Harry Tector,Ireland,Middle order Batter,Right hand Bat,Right arm Offbreak
Lorcan Tucker,Ireland,Wicketkeeper Batter,Right hand Bat,
Alex Hales,England,Opening Batter,Right hand Bat,Right arm Medium
Litton Das,Bangladesh,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Aaron Finch,Australia,Top order Batter,Right hand Bat,Slow Left arm Orthodox
Zawar Farid,United Arab Emirates,Bowler,Right hand Bat,Right arm Medium
Lo-handre Louwrens,Namibia,Wicketkeeper Batter,Right hand Bat,
Pikky Ya France,Namibia,Middle order Batter,Right hand Bat,Right arm Offbreak
Gerhard Erasmus,Namibia,Allrounder,Right hand Bat,Right arm Offbreak
Jan Frylinck,Namibia,Allrounder,Left hand Bat,Left arm Fast medium
George Munsey,Scotland,Opening Batter,Left hand Bat,Right arm Medium fast
Craig Wallace,Scotland,Wicketkeeper Batter,Right hand Bat,
Paul Stirling,Ireland,Batting Allrounder,Right hand Bat,Right arm Offbreak
Mark Adair,Ireland,Bowling Allrounder,Right hand Bat,Right arm Fast medium
Curtis Campher,Ireland,Allrounder,Right hand Bat,Right arm Medium fast
Dawid Malan,England,Top order Batter,Left hand Bat,Legbreak
Phil Salt,England,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Jonny Bairstow,England,Wicketkeeper Batter,Right hand Bat,Right arm Medium
Moeen Ali,England,Batting Allrounder,Left hand Bat,Right arm Offbreak
Mosaddek Hossain,Bangladesh,Middle order Batter,Right hand Bat,Right arm Offbreak
Najmul Hossain Shanto,Bangladesh,Top order Batter,Left hand Bat,Right arm Offbreak
Tim David,Australia,Middle order Batter,Right hand Bat,Right arm Offbreak
Steven Smith,Australia,Middle order Batter,Right hand Bat,Legbreak Googly
Matthew Wade,Australia,Wicketkeeper Batter,Left hand Bat,Right arm Medium
JJ Smit,Namibia,Bowling Allrounder,Right hand Bat,Left arm Medium fast
Michael van Lingen,Namibia,Bowling Allrounder,Left hand Bat,"Left arm Medium, Slow Left arm Orthodox"
David Wiese,Namibia,Allrounder,Right hand Bat,Right arm Medium fast
Tangeni Lungameni,Namibia,Bowler,Right hand Bat,Left arm Medium
Michael Leask,Scotland,Allrounder,Right hand Bat,Right arm Offbreak
Brandon McMullen,Scotland,Batting Allrounder,Right hand Bat,Right arm Medium
Josh Davey,Scotland,Bowler,Right hand Bat,Right arm Medium fast
Chris Greaves,Scotland,Bowler,Right hand Bat,Legbreak
Hamza Tahir,Scotland,Bowler,Right hand Bat,Slow Left arm Orthodox
Gareth Delany,Ireland,Batting Allrounder,Right hand Bat,Legbreak Googly
George Dockrell,Ireland,Allrounder,Right hand Bat,Slow Left arm Orthodox
Sam Curran,England,Allrounder,Left hand Bat,Left arm Medium fast
Liam Livingstone,England,Batting Allrounder,Right hand Bat,"Right arm Offbreak, Legbreak"
Ben Stokes,England,Allrounder,Left hand Bat,Right arm Fast medium
Nurul Hasan,Bangladesh,Wicketkeeper Batter,Right hand Bat,
Soumya Sarkar,Bangladesh,Middle order Batter,Left hand Bat,Right arm Medium fast
Yasir Ali,Bangladesh,Middle order Batter,Right hand Bat,Right arm Offbreak
Shakib Al Hasan,Bangladesh,Allrounder,Left hand Bat,Slow Left arm Orthodox
David Warner,Australia,Opening Batter,Left hand Bat,Legbreak
Josh Inglis,Australia,Wicketkeeper Batter,Right hand Bat,
Cameron Green,Australia,Batting Allrounder,Right hand Bat,Right arm Fast medium
Mitchell Marsh,Australia,Allrounder,Right hand Bat,Right arm Medium
Glenn Maxwell,Australia,Batting Allrounder,Right hand Bat,Right arm Offbreak
Marcus Stoinis,Australia,Batting Allrounder,Right hand Bat,Right arm Medium
Bernard Scholtz,Namibia,Bowler,Right hand Bat,Slow Left arm Orthodox
Ben Shikongo,Namibia,Bowler,Right hand Bat,Right arm Medium fast
Ruben Trumpelmann,Namibia,Bowler,Right hand Bat,Left arm Fast
Safyaan Sharif,Scotland,Bowler,Right hand Bat,Right arm Medium fast
Chris Sole,Scotland,Bowler,Right hand Bat,Right arm Medium fast
Mark Watt,Scotland,Bowler,Left hand Bat,Slow Left arm Orthodox
Brad Wheal,Scotland,Bowler,Right hand Bat,Right arm Fast medium
Fionn Hand,Ireland,Bowling Allrounder,Right hand Bat,Right arm Medium
Simi Singh,Ireland,Bowling Allrounder,Right hand Bat,"Right arm Offbreak, Legbreak Googly"
Graham Hume,Ireland,Bowler,Left hand Bat,Right arm Fast medium
Josh Little,Ireland,Bowler,Right hand Bat,Left arm Fast medium
Barry McCarthy,Ireland,Bowler,Right hand Bat,Right arm Fast medium
Conor Olphert,Ireland,Bowler,Right hand Bat,Right arm Medium
David Willey,England,Bowling Allrounder,Left hand Bat,Left arm Fast medium
Chris Woakes,England,Allrounder,Right hand Bat,Right arm Fast medium
Chris Jordan,England,Bowler,Right hand Bat,Right arm Fast medium
Tymal Mills,England,Bowler,Right hand Bat,Left arm Fast
Adil Rashid,England,Bowler,Right hand Bat,Legbreak
Mark Wood,England,Bowler,Right hand Bat,Right arm Fast
Reece Topley,England,Bowler,Right hand Bat,Left arm Fast medium
Afif Hossain,Bangladesh,Allrounder,Left hand Bat,Right arm Offbreak
Mehidy Hasan Miraz,Bangladesh,Allrounder,Right hand Bat,Right arm Offbreak
Ebadot Hossain,Bangladesh,Bowler,Right hand Bat,Right arm Fast medium
Hasan Mahmud,Bangladesh,Bowler,Right hand Bat,Right arm Fast medium
Mustafizur Rahman,Bangladesh,Bowler,Left hand Bat,Left arm Fast medium
Nasum Ahmed,Bangladesh,Bowler,Left hand Bat,Slow Left arm Orthodox
Pat Cummins,Australia,Bowler,Right hand Bat,Right arm Fast
Ashton Agar,Australia,Bowler,Left hand Bat,Slow Left arm Orthodox
Josh Hazlewood,Australia,Bowler,Left hand Bat,Right arm Fast medium
Kane Richardson,Australia,Bowler,Right hand Bat,Right arm Fast medium
Craig Young,Ireland,Bowler,Right hand Bat,Right arm Fast medium
Shoriful Islam,Bangladesh,Bowler,Left hand Bat,Left arm Medium fast
Taskin Ahmed,Bangladesh,Bowler,Left hand Bat,Right arm Fast
Mitchell Starc,Australia,Bowler,Left hand Bat,Left arm Fast
Adam Zampa,Australia,Bowler,Right hand Bat,Legbreak Googly
